"","park","year","total_sq_kilometers","country","state_region_province","closest_city","distance_from_closest_city","geocode_address","lon","lat","geoAddress"
"159","Neusielder See-Seewinkel ",1993,"97","Austria","Burgenland","Bratislava",77,"Neusielder See-Seewinkel  National Park, Austria",16.7681348,47.7329082,"lake neusiedl - seewinkel national park, hauswiese, 7142 illmitz, austria"
"160","Donau-Auen ",1996,"93","Austria","Lower Austria/Vienna","Vienna",32,"Donau-Auen  National Park, Austria",16.7004541,48.1447168,"danube-auen national park, schloßpl. 1, 2304 orth an der donau, austria"
"161","Kalkalpen",1997,"208","Austria","Upper Austria","Linz",96,"Kalkalpen National Park, Austria",14.3843263,47.7824299,"national park upper austrian limestone alps, 4591 molln, austria"
"162","Thayatal ",2000,"13","Austria","Lower Austria","Brno",96,"Thayatal  National Park, Austria",15.8600631,48.8444708,"thayatal national park, merkersdorf 90, 2082 hardegg, austria"
"163","Gesause",2002,"110","Austria","Styria","Salzburg",187,"Gesause National Park, Austria",14.5891132,47.5652076,"gesäuse national park, weng 2, 8913 admont, austria"
"164","Belovezhskaya Pushcha",1932,"1502","Belarus","Brest","Brest",59,"Belovezhskaya Pushcha National Park, Belarus",23.8029662,52.5692797,"bielaviežskaja pušča national park, улица пущанская, kamianiuki, belarus"
"165","Braslau Lakes ",1995,"691","Belarus","Braslaw","Vilnius",181,"Braslau Lakes  National Park, Belarus",27.0319293,55.6391682,"braslaw, belarus"
"166","Pripyatski ",1996,"858","Belarus","Gomel","Baronovici ",125,"Pripyatski  National Park, Belarus",27.4949466920591,51.6799781317432,"pripyat river"
"167","Naranchanski",1999,"1178","Belarus","Minsk, Grodno and Vitebsk","Vilnius",112,"Naranchanski National Park, Belarus",27.953389,53.709807,"belarus"
"168","De Zoom-Kalmthoutse Heide ",2001,"38","Belgium","Antwerp and the NE","Antwerp",29,"De Zoom-Kalmthoutse Heide  National Park, Belgium",4.4355541,51.3970806,"kalmthout heath, 2920 kalmthout, belgium"
"169","Hoge Kempen ",2006,"127","Belgium","Antwerp and the NE","Maastricht",9,"Hoge Kempen  National Park, Belgium",5.615112,50.9924575,"hoge kempen national park, 3630 maasmechelen, belgium"
"170","Sutjeska",1962,"161","Bosnia Herzegovina","Republic of Srpska","Sarajevo",107,"Sutjeska National Park, Bosnia Herzegovina",18.7148583,43.3239516,"8pf7+hwq sutjeska national park, tjentište, bosnia and herzegovina"
"171","Kozara",1967,"39","Bosnia Herzegovina","Republic of Srpska","Zagreb",178,"Kozara National Park, Bosnia Herzegovina",16.900127,45.0171009,"kozara national park, vuk karadzic 43, prijedor, bosnia and herzegovina"
"172","Una",2008,"350","Bosnia Herzegovina","NW Bosnia","Zagreb",177,"Una National Park, Bosnia Herzegovina",16.0064703,44.6982053,"nacionalni park una, bihać 77000, bosnia and herzegovina"
"173","Drina",2017,"63","Bosnia Herzegovina","Republic of Srpska","Sarajevo",159,"Drina National Park, Bosnia Herzegovina",19.5328634,43.9710298,"xgcm+c49 национални парк ""дрина"", skelani, bosnia and herzegovina"
"174","Pirin",1962,"402","Bulgaria","Southwest","Plovdiv ",163,"Pirin National Park, Bulgaria",23.41481,41.7245464,"pirin national park, 2823 пирин, bulgaria"
"175","Central Balkan ",1991,"717","Bulgaria","Balkan Range and Danubian Plain","Plovdiv",87,"Central Balkan  National Park, Bulgaria",24.7612179,42.7112143,"central balkan national park, bulgaria"
"176","Rila",1992,"810","Bulgaria","Southwest","Sofia",73,"Rila National Park, Bulgaria",23.5802972,42.135391,"rila national park, bulgaria"
"177","Plitvice Lakes ",1949,"297","Croatia","Inland Croatia","Zagreb",130,"Plitvice Lakes  National Park, Croatia",15.5820119,44.8653966,"plitvice lakes national park, croatia"
"178","Paklenica",1949,"95","Croatia","Kvarner Gulf","Split",176,"Paklenica National Park, Croatia",15.4840471,44.3438096,"paklenica national park, croatia"
"179","Risnjak",1953,"64","Croatia","Inland Croatia","Rijeka",43,"Risnjak National Park, Croatia",14.6861556,45.4182073,"risnjak national park, bijela vodica 48, 51317, crni lug, croatia"
"180","Mljet",1960,"98","Croatia","Dubrovnik and Around","Split",211,"Mljet National Park, Croatia",17.5150139,42.7477712,"mljet, croatia"
"181","Kornati ",1980,"218","Croatia","Dalmatia","Split",186,"Kornati  National Park, Croatia",15.2324231,43.8706921,"national park kornati, ul. butina 2, 22243, murter, croatia"
"182","Brijuni",1983,"34","Croatia","Istria","Rijeka",70,"Brijuni National Park, Croatia",13.7541121849065,44.9149629424503,"brijuni, croatia"
"183","Krka",1985,"109","Croatia","Dalmatia","Split",84,"Krka National Park, Croatia",15.9724838,43.8666017,"krka national park, lozovac, croatia"
"184","Sjeverni Velebit ",1999,"109","Croatia","Kvarner Gulf","Rijeka",98,"Sjeverni Velebit  National Park, Croatia",15.0623598,44.8197427,"northern velebit national park, krasno 96, 53274, krasno polje, croatia"
"185","Pedagogical Academy ",1983,"5","Cyprus","South Nicosia","Nicosia",5,"Pedagogical Academy  National Park, Cyprus",33.3842704,35.1627226,"597m+3pj pedagogical academy national forest park, αιπείας, aglantzia, cyprus"
"186","Liopetri Forest ",1984,"9","Cyprus","Famagusta and the Karpaz Peninsula","Nicosia",79,"Liopetri Forest  National Park, Cyprus",33.8929049,35.0096685,"liopetri, cyprus"
"187","Athalassa",1990,"8","Cyprus","South Nicosia","Nicosia",9,"Athalassa National Park, Cyprus",33.3962986,35.1249823,"49fw+xgv athalassa national forest park, atalassa, cyprus"
"188","Troodos",1992,"91","Cyprus","Limassol and Around","Limassol",58,"Troodos National Park, Cyprus",32.8802192,34.9218218,"troodos, cyprus"
"189","Cape Greco ",1993,"39","Cyprus","Famagusta and the Karpaz Peninsula","Nicosia",95,"Cape Greco  National Park, Cyprus",34.0720367,34.9721212,"x3cc+rrv cape greco national forest park, e307, ayia napa, cyprus"
"190","Polemidia",1996,"13","Cyprus","Limassol and Around","Limassol",6,"Polemidia National Park, Cyprus",33.0058945,34.7132674,"p274+892 polemidia national park, limasol, cyprus"
"191","Rizoelia",1998,"10","Cyprus","Larnaca and Around","Nicosia",43,"Rizoelia National Park, Cyprus",33.5724136,34.9416941,"whrc+mxf rizoeliás, aradippou, cyprus"
"192","Agios Nikandros ",2000,"3","Cyprus","Famagusta and the Karpaz Peninsula","Nicosia",88,"Agios Nikandros  National Park, Cyprus",33.949661,34.9892794,"agios nikandros, ayia napa, cyprus"
"193","Petra tou Romiou ",2001,"35","Cyprus","Pafos and the West","Limassol",68,"Petra tou Romiou  National Park, Cyprus",32.627183,34.663542,"mj7g+cv7, kouklia, cyprus"
"194","Karpasia/Dipkarpaz ",2004,"66","Cyprus","Famagusta and the Karpaz Peninsula","Nicosia",139,"Karpasia/Dipkarpaz  National Park, Cyprus",34.4087307,35.6176824,"jc95+3fh dipkarpaz national park, dipkarpaz milli parkı, dipkarpaz 9989"
"195","Machairas ",2004,"45","Cyprus","South Nicosia","Nicosia",47,"Machairas  National Park, Cyprus",33.1905327,34.9404887,"machairas monastery, lazanias 2618, cyprus"
"196","Akamas",2022,"230","Cyprus","Pafos and the West","Limassol",111,"Akamas National Park, Cyprus",32.2994127,35.0429504,"27vx+5qm akamas national forest park, neo chorio, cyprus"
"197","Krkonose Mountains ",1963,"370","Czech Republic","East Bohemia","Prague",133,"Krkonose Mountains  National Park, Czech Republic",15.6222222,50.7672222,"giant mountains, poland"
"198","Sumava",1981,"681","Czech Republic","South Bohemia","Prague",148,"Sumava National Park, Czech Republic",13.6331348,48.9720274,"šumava national park, czechia"
"199","Podyji ",1991,"63","Czech Republic","South Moravia","Brno",85,"Podyji  National Park, Czech Republic",15.92027,48.8448123,"podyjí national park, czechia"
"200","Bohemian Switzerland ",2000,"80","Czech Republic","North Bohemia","Dresden",55,"Bohemian Switzerland  National Park, Czech Republic",14.3715503,50.8784035,"bohemian switzerland national park, czechia"
"201","Thy",2008,"244","Denmark","Jutland","Aalborg",121,"Thy National Park, Denmark",8.3686546,56.9584784,"thy national park, vesterhavsgade 168, 7700 thisted, denmark"
"202","Mols Berge ",2009,"180","Denmark","Jutland","Aarhus",32,"Mols Berge  National Park, Denmark",10.5488889,56.2194444,"mols bjerge, 8420 knebel, denmark"
"203","Wadden Sea ",2010,"1466","Denmark","Southern Denmark","Odense",119,"Wadden Sea  National Park, Denmark",8.4972079,55.2410323,"wadden sea national park, denmark"
"204","Land of the Scylding ",2015,"170","Denmark","Zealand","Copenhagen",45,"Land of the Scylding  National Park, Denmark",9.501785,56.26392,"denmark"
"205","Kongernes Nordsjaelland ",2018,"263","Denmark","Zealand","Copenhagen",49,"Kongernes Nordsjaelland  National Park, Denmark",12.3771125,56.0462977,"kongernes nordsjælland, klostergade 12, 3230 græsted, denmark"
"206","Matsalu",1957,"489","Estonia","Western Estonia","Tallinn",117,"Matsalu National Park, Estonia",23.4827605,58.7562217,"matsalu rp, estonia"
"207","Lahemaa",1971,"747","Estonia","Northern Estonia","Tallinn",46,"Lahemaa National Park, Estonia",25.7810189,59.5676617,"lahemaa national park, estonia"
"208","Karula",1993,"124","Estonia","Southern Estonia","Tallinn",252,"Karula National Park, Estonia",26.4915254,57.7019254,"karula national park, estonia"
"209","Soomaa",1993,"398","Estonia","Southwestern Estonia","Tallinn",136,"Soomaa National Park, Estonia",24.9824369,58.4887933,"soomaa national park, metsa 2, kõpu, 71201, estonia"
"210","Vilsandi ",1993,"239","Estonia","Western Estonia","Tallinn",203,"Vilsandi  National Park, Estonia",21.8569051,58.3583201,"vilsandi national park, saare maakond, estonia"
"211","Alutaguse",2018,"443","Estonia","Eastern Estonia","Tallinn",193,"Alutaguse National Park, Estonia",27.3497843,59.1242448,"alutaguse rural municipality, ida-viru county, estonia"
"212","",NA,"","","","",NA," National Park, ",NA,NA,"NA"
"213","Lemmonjoki ",1956,"2850","Finland","Finnish Lapland","Oulu",522,"Lemmonjoki  National Park, Finland",25.5985362,68.6388189,"lemmenjoki national park, finland"
"214","Liesjarvi",1956,"22","Finland","Lake District","Helsinki",95,"Liesjarvi National Park, Finland",23.8977183,60.6535892,"liesjärvi national park, korteniementie 270, 31380 tammela, finland"
"215","Linnansaari",1956,"38","Finland","Lake District","Jyvaskyla",184,"Linnansaari National Park, Finland",28.5121879,62.1101353,"linnansaari national park, kiramontie 27, 58130 oravi, finland"
"216","Oulanka",1956,"270","Finland","Karelia and Kainuu","Oulu",269,"Oulanka National Park, Finland",29.3222341,66.3745719,"oulanka national park, liikasenvaarantie, kuusamo, finland"
"217","Petkeljarvi",1956,"6","Finland","Karelia and Kainuu","Jyvaskyla",336,"Petkeljarvi National Park, Finland",31.1746378,62.5785481,"petkeljärvi national park, petkeljärventie 61, 82900 ilomantsi, finland"
"218","Pyha-Hakki ",1956,"13","Finland","Lake District","Jyvaskyla",82,"Pyha-Hakki  National Park, Finland",25.4693978,62.8448328,"pyhä-häkki national park, 43170 saarijärvi, finland"
"219","Rokua",1956,"4","Finland","Karelia and Kainuu","Oulu",83,"Rokua National Park, Finland",26.5052757,64.586423,"rokua national park, jaakonjärventie 2, 91670 utajärvi, finland"
"220","Archipelago",1982,"500","Finland","Southwest","Turku",69,"Archipelago National Park, Finland",21.8115377,59.9345405,"archipelago national park, finland"
"221","Helvetinjarvi",1982,"50","Finland","Lake District","Tampere",77,"Helvetinjarvi National Park, Finland",23.8463498,62.0234115,"helvetinjärvi national park, ruovesi, finland"
"222","Hiidenportti ",1982,"45","Finland","Karelia and Kainuu","Oulu",242,"Hiidenportti  National Park, Finland",28.9848532,63.9020858,"hiidenportti national park, hiidenportintie 86, 88600 sotkamo, finland"
"223","Isojarvi ",1982,"19","Finland","Lake District","Tampere",83,"Isojarvi  National Park, Finland",25.0021541,61.690591,"isojärven kansallispuisto, kuhmoinen, finland"
"224","Kauhaneva-Pohjankangas ",1982,"57","Finland","Bothnian Coast","Tampere",127,"Kauhaneva-Pohjankangas  National Park, Finland",22.4502732,62.195846,"kauhaneva-pohjankangas national park, kyrönkankaantie 357, 39930 karvia, finland"
"225","Lauhanvuori ",1982,"53","Finland","Bothnian Coast","Tampere",138,"Lauhanvuori  National Park, Finland",22.1751258,62.1521157,"lauhanvuori national park, lauhanvuorentie 656, 61960 isojoki, finland"
"226","Patvinsuo",1982,"105","Finland","Karelia and Kainuu","Jyvaskyla",324,"Patvinsuo National Park, Finland",30.7011862,63.1131218,"patvinsuo national park, lieksa, finland"
"227","Riisitunturi ",1982,"77","Finland","Finnish Lapland","Oulu",252,"Riisitunturi  National Park, Finland",28.6396424,66.205758,"riisitunturi national park, patoniementie 180, 97900 posio, finland"
"228","Salamajarvi",1982,"62","Finland","Lake District","Jyvaskyla",140,"Salamajarvi National Park, Finland",24.8229325,63.2357871,"salamajärvi national park, koirasalmentie 1220, 43800 kivijärvi, finland"
"229","Seitseminen",1982,"46","Finland","Lake District","Tampere",70,"Seitseminen National Park, Finland",23.3613429,61.969428,"seitseminen national park, seitsemisentie 110, 34530 ylöjärvi, finland"
"230","Tiilikajarvi",1982,"34","Finland","Karelia and Kainuu","Oulu",242,"Tiilikajarvi National Park, Finland",27.661883,63.0736826,"71800 siilinjärvi, finland"
"231","Urho Kekkonen ",1983,"2550","Finland","Finnish Lapland","Oulu",457,"Urho Kekkonen  National Park, Finland",28.25,68.1666667,"urho kekkonen national park, finland"
"232","Ekenas Archipelago ",1989,"52","Finland","South Coast","Helsinki",92,"Ekenas Archipelago  National Park, Finland",23.3970549,59.8728056,"ekenäs archipelago national park, raseborg, finland"
"233","Kolovesi",1990,"23","Finland","Lake District","Jyvaskyla",205,"Kolovesi National Park, Finland",28.8185295,62.2523068,"kolovesi national park, kirkkorannantie 200, 58180 enonkoski, finland"
"234","Torronsuo",1990,"26","Finland","Lake District","Turku",90,"Torronsuo National Park, Finland",23.6325656,60.7313489,"torronsuo national park, 30100 tammela, finland"
"235","Bothnian Bay ",1991,"157","Finland","Finnish Lapland","Oulu",87,"Bothnian Bay  National Park, Finland",24.3190094,65.6290589,"perämeri national park, rantabulevardi 2, 94100 kemi, finland"
"236","Koli ",1991,"30","Finland","Karelia and Kainuu","St Petersburg",395,"Koli  National Park, Finland",29.8062314,63.096858,"koli national park, ylä-kolintie 38, 83960 lieksa, finland"
"237","Eastern Gulf of Finland ",1992,"7","Finland","South Coast","Helsinki",140,"Eastern Gulf of Finland  National Park, Finland",27.4568573,60.3481012,"eastern gulf of finland national park, ulko-tammio, 49400 fredrikshamn, finland"
"238","Paijanne",1993,"14","Finland","Lake District","Lahti",74,"Paijanne National Park, Finland",25.4401744,61.3896745,"päijänteen kansallispuisto, finland"
"239","Puurijarvi-Isosuo ",1993,"27","Finland","Lake District","Tampere",74,"Puurijarvi-Isosuo  National Park, Finland",22.5876927,61.2539863,"puurijärvi-isosuo national park, mutilahdentie 210, 32700 huittinen, finland"
"240","Nuuksio",1994,"45","Finland","Helsinki and Around","Helsinki",35,"Nuuksio National Park, Finland",24.5565109,60.2927289,"nuuksio national park, nuuksiontie 84, 02820 espoo, finland"
"241","Valkmusa ",1996,"17","Finland","Karelia and Kainuu","Lahti",94,"Valkmusa  National Park, Finland",26.705125,60.5720544,"valkmusa national park, vastilantie 886, 49220 vastila, finland"
"242","Kurjenrahka",1998,"29","Finland","Southwest","Turku",39,"Kurjenrahka National Park, Finland",22.4130304,60.7399567,"kurjenrahka national park, kuhankuonontie 67, 21930 pöytyä, finland"
"243","Syote",2000,"299","Finland","Karelia and Kainuu","Oulu",143,"Syote National Park, Finland",27.6069966,65.634449,"syöte national park, erätie 1, 93280 pudasjärvi, finland"
"244","Leivonmaki",2003,"29","Finland","Lake District","Jyvaskyla",48,"Leivonmaki National Park, Finland",25.9798101,61.934819,"leivonmäki national park, syysniementie 1072, 41710 joutsa, finland"
"245","Repovesi",2003,"15","Finland","Lake District","Helsinki",191,"Repovesi National Park, Finland",26.9023636,61.1879953,"repovesi national park, kouvola, finland"
"246","Pallas-Yllastunturi ",2005,"1020","Finland","Finnish Lapland","Oulu",406,"Pallas-Yllastunturi  National Park, Finland",24.1333333,67.9666667,"pallas-yllästunturi national park, finland"
"247","Pyha-Luosto ",2005,"142","Finland","Finnish Lapland","Oulu",317,"Pyha-Luosto  National Park, Finland",26.9197389,67.0851971,"pyhä-luosto national park, pelkosenniemi, finland"
"248","Bothnian Sea ",2011,"913","Finland","Southwest","Tampere",127,"Bothnian Sea  National Park, Finland",21.5640023,61.5354681,"selkämeri national park (pori), huhtalanraitti 241, 28800 pori, finland"
"249","Sipoonkorpi ",2011,"19","Finland","Helsinki and Around","Helsinki",31,"Sipoonkorpi  National Park, Finland",25.1611827,60.3115477,"sipoonkorpi national park, 04130 sipoo, finland"
"250","Southern Konnevesi ",2014,"15","Finland","Lake District","Jyvaskyla",87,"Southern Konnevesi  National Park, Finland",26.7089725,62.5924528,"etelä-konnevesi national park, törmälän metsätie 136, 77700 rautalampi, finland"
"251","Teijo",2015,"34","Finland","South Coast","Turku",82,"Teijo National Park, Finland",22.9378166,60.2099945,"teijo national park, matildanjärventie 84, 25660 salo, finland"
"252","Hossa",2017,"11","Finland","Karelia and Kainuu","Oulu",240,"Hossa National Park, Finland",29.5183537,65.4676488,"hossa national park, jatkonsalmentie 6, 89920 suomussalmi, finland"
"253","Salla",2022,"100","Finland","Finnish Lapland","Oulu",315,"Salla National Park, Finland",28.8631955,66.7843758,"salla national park, 98900 salla, finland"
"254","Port-Cros",1963,"46","France","Cote d'Azur","Marseille",89,"Port-Cros National Park, France",6.3961897,43.0041324,"port-cros national park, 83400 hyères, france"
"255","Vanoise",1963,"534","France","Alps and Jura","Turin",109,"Vanoise National Park, France",6.8629282,45.3902213,"vanoise national park, france"
"256","Pyrenees",1967,"458","France","Pyrenees","Toulouse",156,"Pyrenees National Park, France",-0.0834092,42.8722093,"pyrénées national park, france"
"257","Cevennes",1970,"937","France","Massif Central","Montpellier",127,"Cevennes National Park, France",3.7095146,44.2610295,"cévennes national park, 6 bis pl. du palais, 48400 florac-trois-rivières, france"
"258","Ecrins",1973,"1788","France","Alps and Jura","Grenoble",42,"Ecrins National Park, France",6.2620555,44.8387896,"écrins national park, france"
"259","Mercantour",1979,"679","France","Rhone Valley and Provence","Nice",51,"Mercantour National Park, France",7.0014116,44.1521534,"mercantour national park, france"
"260","Calanques",2012,"520","France","Cote d'Azur","Marseille",13,"Calanques National Park, France",5.4313296,43.2181902,"parc national des calanques, france"
"261","Forets",2019,"560","France","The North, Burgundy","Dijon",50,"Forets National Park, France",4.8840399,47.8487554,"parc national de forêts, 20 rue anatole gabeur, 52210 arc-en-barrois, france"
"262","Lower Oder Valley ",1955,"165","Germany","Brandenburg","Szczecin",52,"Lower Oder Valley  National Park, Germany",14.2746662,53.0348764,"unteres odertal national park, germany"
"263","Bavarian Forest ",1970,"242","Germany","Bavaria","Linz",107,"Bavarian Forest  National Park, Germany",13.39492,48.9596919,"bavarian forest national park, germany"
"264","Berchtesgaden",1978,"210","Germany","Bavaria","Salzburg",38,"Berchtesgaden National Park, Germany",12.9176677,47.5528926,"nationalpark berchtesgaden, 83486 ramsau bei berchtesgaden, germany"
"265","Schleswig-Holstein Wadden Sea ",1985,"4410","Germany","Schleswig-Holstein","Bremerhaven",108,"Schleswig-Holstein Wadden Sea  National Park, Germany",8.6986629,53.9786618,"nationalpark schleswig-holsteinisches wattenmeer, schloßgarten 1, 25832 tönning, germany"
"266","Lower Saxon Wadden Sea ",1986,"3458","Germany","Lower Saxony","Bremerhaven",41,"Lower Saxon Wadden Sea  National Park, Germany",9.8450765,52.6367036,"lower saxony, germany"
"267","Hamburg Wadden Sea ",1990,"138","Germany","Schleswig-Holstein","Bremerhaven",41,"Hamburg Wadden Sea  National Park, Germany",8.5654939,53.9076927,"hamburgisches wattenmeer national park, germany"
"268","Jasmund ",1990,"30","Germany","Mecklenburg-Lower Pomerania","Rostock",30,"Jasmund  National Park, Germany",13.6478658,54.5510593,"jasmund national park, stubbenkammer 2a, 18546 sassnitz, germany"
"269","Muritz",1990,"308","Germany","Mecklenberg-Lower Pomerania","Rostock",102,"Muritz National Park, Germany",12.8306587,53.4597583,"nationalpark müritz, kargower str. 12, 17192 kargow, germany"
"270","Saxon Switzerland ",1990,"94","Germany","Saxony","Dresden",48,"Saxon Switzerland  National Park, Germany",14.2811723,50.9145241,"saxon switzerland national park, germany"
"271","Western Pomerania Lagoon Area ",1990,"805","Germany","Mecklenberg-Lower Pomerania","Rostock",53,"Western Pomerania Lagoon Area  National Park, Germany",12.9431219,54.4367417,"vorpommersche boddenlandschaft national park, im forst 5, 18375 born a. darß, germany"
"272","Hainich",1997,"75","Germany","Thuringia","Kassel",97,"Hainich National Park, Germany",10.4342391,51.0804143,"hainich national park, bei der marktkirche 9, 99947 bad langensalza, germany"
"273","Eifel",2004,"107","Germany","North Rhine-Westphalia","Aachen",38,"Eifel National Park, Germany",6.425929,50.5973902,"eifel national park, germany"
"274","Kellerwald-Edersee ",2004,"57","Germany","Hesse","Kassel",65,"Kellerwald-Edersee  National Park, Germany",9.1033333,51.0272222,"kellerwald, 34632 jesberg, germany"
"275","Harz ",2006,"247","Germany","Saxony-Anhalt and Saxony","Gottingen",56,"Harz  National Park, Germany",10.5231907,51.7798662,"harz national park, germany"
"276","Black Forest ",2014,"101","Germany","Baden-Wurttemberg","Strasbourg",59,"Black Forest  National Park, Germany",8.2703877,48.5775211,"schwarzwald national park, schwarzwaldhochstraße 2, 77889 seebach, germany"
"277","Hunsruck-Hochwald ",2015,"100","Germany","Rhineland-Palatinate and Saarland","Saarbrucken ",66,"Hunsruck-Hochwald  National Park, Germany",7.0674843,49.6935931,"hunsrück-hochwald national park, unnamed road, 54422 börfink, germany"
"278","Hortobagy",1973,"810","Hungary","Great Plain","Debrecen",24,"Hortobagy National Park, Hungary",21.0915786,47.5225431,"hortobágyi national park, hungary"
"279","Kiskunsag",1975,"506","Hungary","Great Plain","Kecskemet",25,"Kiskunsag National Park, Hungary",19.400018,46.8833159,"fülöpháza, kiskunság national park, 6042 hungary"
"280","Bukk",1977,"423","Hungary","Northern Uplands","Miskolc",57,"Bukk National Park, Hungary",20.4037901,48.0556308,"répáshuta, bükki national park, 3559 hungary"
"281","Aggtelek",1985,"202","Hungary","Northern Uplands","Miskolc",46,"Aggtelek National Park, Hungary",20.5400313,48.5080267,"aggtelek national park, hungary"
"282","Ferto-Hansag ",1991,"239","Hungary","Transdanubia","Bratislava",80,"Ferto-Hansag  National Park, Hungary",16.8635688,47.6386776,"sarród, fertő-hanság national park, rév-kócsagvár 4, 9435 hungary"
"283","Danube-Drava ",1996,"498","Hungary","Transdanubia","Pecs",56,"Danube-Drava  National Park, Hungary",18.7488605,45.9391182,"mohács, duna-dráva national park, cselepatak u. 43, 7700 hungary"
"284","Balaton Uplands ",1997,"570","Hungary","Lake Baloton and the Bakony","Budapest",143,"Balaton Uplands  National Park, Hungary",17.6770482,46.8950755,"csopak, balaton uplands national park, kossuth utca 16, 8229 hungary"
"285","Danube-Ipoly",1997,"607","Hungary","Danube Bend","Budapest",79,"Danube-Ipoly National Park, Hungary",18.8941551,47.8943839,"nagybörzsöny, danube-ipoly national park, 2634 hungary"
"286","Koros-Maros ",1997,"512","Hungary","Great Plain","Kecskemet",80,"Koros-Maros  National Park, Hungary",20.5266716,46.8574868,"szarvas, körös-maros national park, annaliget 1, 5540 hungary"
"287","Orseg",2002,"440","Hungary","Transdanubia","Graz",103,"Orseg National Park, Hungary",16.4170109,46.8414481,"őriszentpéter, őrség national park, városszer 57, 9941 hungary"
"288","Þingvellir ",1930,"240","Iceland","S Iceland","Reykjavik",47,"Þingvellir  National Park, Iceland",-21.1295496,64.2559196,"þingvellir national park, þingvellir, 801, 806 selfoss, iceland"
"289","Snæfellsjökull",2001,"170","Iceland","W Iceland","Reykjavik",197,"Snæfellsjökull National Park, Iceland",-23.7730967,64.8057023,"snæfellsjökull, iceland"
"290","Vatnajökull",2008,"13,952","Iceland","SE Iceland","Reykjavik",320,"Vatnajökull National Park, Iceland",-17.2091077,64.7843002,"vatnajökull national park, klapparstígur 25, 101 27, iceland"
"291","Connemara",1980,"20","Ireland","Galway and Mayo","Cork",285,"Connemara National Park, Ireland",-9.8875419,53.5383782,"connemara national park, letterfrack, co. galway, ireland"
"292","Glenveagh",1984,"170","Ireland","Donegal","Belfast",171,"Glenveagh National Park, Ireland",-7.9376869,55.0575877,"glenveagh national park, letterkenny, co. donegal, ireland"
"293","The Burren ",1991,"15","Ireland","Limerick and Clare","Cork",154,"The Burren  National Park, Ireland",-9.0373606,52.9968282,"burren national park, 2 church street, corofin, co. clare, v95 t9v6, ireland"
"294","Wicklow Mountains ",1991,"205","Ireland","Around Dublin","Dublin",22,"Wicklow Mountains  National Park, Ireland",-6.3938595,53.0818051,"wicklow mountains, laragh west, co. wicklow, ireland"
"295","Wild Nephin ",1998,"150","Ireland","Galway and Mayo","Dublin",265,"Wild Nephin  National Park, Ireland",-9.8233278,54.0244585,"ballycroy visitor centre - wild nephin national park, ballycroy, co. mayo, ireland"
"296","Killarney",1932,"105","Ireland`","Kerry","Cork",85,"Killarney National Park, Ireland`",-9.5561803,52.0058447,"killarney national park, co. kerry, ireland"
"297","Gran Paradiso ",1922,"700","Italy","Piemonte and Valle d’Aosta","Turin",147,"Gran Paradiso  National Park, Italy",7.3244838,45.5220276,"gran paradiso national park, italy"
"298","Abruzzo, Lazio and Molise ",1923,"507","Italy","Abruzzo and Molise","Pescara",114,"Abruzzo, Lazio and Molise  National Park, Italy",13.7900817,41.8088069,"national park of abruzzo, italy"
"299","Circeo",1934,"84","Italy","Rome and Lazio","Latina",8,"Circeo National Park, Italy",12.916487,41.3977742,"parco nazionale del circeo, str. di fogliano, 04100 latina lt, italy"
"300","Stelvio",1935,"1307","Italy","Lombardy and Trentino-Alto Adige","Bolzano Bozen",63,"Stelvio National Park, Italy",10.5339141,46.4556321,"parco nazionale dello stelvio, via alberto de simoni, 42, 23032 bormio so, italy"
"301","Dolomiti Bellunesi ",1988,"32","Italy","Veneto","Trento",90,"Dolomiti Bellunesi  National Park, Italy",12.036645,46.169919,"parco nazionale delle dolomiti bellunesi, dolomiti bellunesi, belluno bl, italy"
"302","Pollino",1988,"1926","Italy","Calabria and Basilicata","Taranto",183,"Pollino National Park, Italy",16.122265,39.94133,"pollino national park, italy"
"303","Sibillini Mountains ",1988,"697","Italy","Marche and Umbria","Terni ",65,"Sibillini Mountains  National Park, Italy",13.2201828,42.9078391,"parco nazionale dei monti sibillini, italy"
"304","Aspromonte",1989,"761","Italy","Calabria and Basilicata","Reggio Calabria",33,"Aspromonte National Park, Italy",15.8904785,38.165354,"aspromonte national park, 89057 santo stefano in aspromonte rc, italy"
"305","Foreste Casentinesi, Monte Falterona and Campigna",1989,"364","Italy","Emilia-Romagna and Tuscany","Forli",47,"Foreste Casentinesi, Monte Falterona and Campigna National Park, Italy",11.745409,43.8724003,"47018 campigna, province of forlì-cesena, italy"
"306","Tuscan Archipelago ",1989,"747","Italy","Emilia-Romagna and Tuscany","Livorno",137,"Tuscan Archipelago  National Park, Italy",10.2714331975294,42.7963950452334,"tuscan archipelago, province of livorno, italy"
"307","Cilento, Valle di Diano and Alburni ",1991,"1810","Italy","Campania","Salerno",64,"Cilento, Valle di Diano and Alburni  National Park, Italy",15.316667,40.55,"alburni, 84029 sicignano degli alburni, sa, italy"
"308","Gargano",1991,"1221","Italy","Puglia","Foggia",29,"Gargano National Park, Italy",15.8516421,41.7817081,"gargano national park, provincia di foggia, italy"
"309","Gran Sasso and Monti della Laga ",1991,"1413","Italy","Marche, Rome and Lazio, Abruzzo and the Molise","Terni ",101,"Gran Sasso and Monti della Laga  National Park, Italy",13.4974258,42.490648,"parco nazionale del gran sasso e monti della laga, italy"
